kills,deaths,assists,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion

4,4,1,3,2,0,24400.0,18900.0,3500.0,2000.0,221800.0,196600.0,21700.0,0,5600.0,0.0,2200.0,17900.0,12100.0,5500.0,300.0,19,20,0,6,14300.0,270,34,27,0,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,Jayce
0,7,5,0,0,0,3000.0,2000.0,600.0,400.0,109400.0,69700.0,33400.0,6300.0,0,10000.0,0.0,8400.0,28200.0,22700.0,5100.0,300.0,15,34,0,16,8400.0,8300.0,45,98,73,1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,JarvanIV
0,2,5,0,0,0,21700.0,600.0,18900.0,2300.0,196200.0,18500.0,175400.0,2300.0,0,3100.0,2300.0,1800.0,12500.0,8300.0,3600.0,700.0,18,10,0,9,12500.0,12200.0,292,12,12,0,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,Orianna
1,4,2,1,1,0,18800.0,16100.000000000002,1000.0,1700.0,309800.0,293400.0,5100.0,11300.0,973,4200.0,1600.0,1500.0,12900.0,9200.0,3300.0,500.0,12,15,0,1,15100.0,15300.0,367,39,39,0,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,MissFortune
0,4,3,0,0,0,5000.0,500.0,3600.0,900.0,27700.0,8300.0,10000.0,9400.0,0,1000.0,800.0,1600.0,14800.0,8700.0,5800.0,300.0,80,16,0,26,7100.0,6500.0,37,0,0,0,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,Nautilus
5,1,8,3,1,0,16100.000000000002,16100.000000000002,0.0,100.0,240800.0,235000.0,0.0,5800.0,0,21900.0,1400.0,23900.0,38700.0,19300.0,11500.0,7900.0,36,8,0,8,16000.0,14300.0,275,42,15,5,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,Aatrox
5,2,10,5,2,0,14200.0,500.0,12700.0,1000.0,198200.0,40100.0,139100.0,19000.0,0,59400.0,3300.0,17700.0,27800.0,18400.0,9000.0,500.0,49,31,0,12,14300.0,12800.0,47,162,73,29,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,Elise
7,1,6,4,1,1,16200.0,13800.0,1500.0,1000.0,221400.0,193700.0,24100.0,3600.0,0,3500.0,1500.0,7100.0,14800.0,10300.0,4400.0,100.0,30,25,0,7,15600.0,13600.0,272,35,17,8,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,Qiyana
3,0,7,3,2,0,15900.0,12700.0,3200.0,0.0,293500.0,260000.0,25700.0,7900.0,779,37000.0,7900.0,1800.0,6800.0,5600.0,1200.0,100.0,16,21,0,5,17100.0,15200.0,357,31,21,6,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,Varus
1,1,10,1,1,0,3000.0,300.0,2800.0,0.0,27400.0,6100.0,12500.0,8800.0,0,6400.0,1300.0,11600.0,18100.0,12400.0,5200.0,500.0,64,5,0,21,9100.0,8000.0,25,0,0,0,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,TahmKench
1,1,5,1,1.1,0,6700.0,5300.0,1400.0,0.0,108200.0,103600.0,3200.0,0,5000.0,3100.0,3500.0,11500.0,8300.0,100.0,16,4,0,7,10200.0,9200.0,207,0,0,0,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,Renekton
3,1,5,3,1,0,7200.0,4600.0,0.0,2500.0,170300.0,131000.0,8600.0,30700.0,0,38300.0,3600.0,15600.0,21800.0,17600.0,4000.0,200.0,24,14,0,9,10900.0,8900.0,20,177,82,25,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,RekSai
5,1,7,5,2,0,11400.0,1500.0,9800.0,100.0,161400.0,23700.0,136600.0,1100.0,0,7600.0,1100.0,7000.0,12500.0,6800.0,5500.0,200.0,16,4,0,8,12600.0,11000.0,245,32,16,16,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,Mordekaiser
11,0,4,11,4,0,21500.0,19800.0,800.0,800.0,251700.0,240900.0,3500.0,7300.0,826,30100.0,8900.0,1400.0,6600.0,5200.0,1300.0,100.0,13,9,0,4,16100.000000000002,14400.0,295,33,28,1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,Xayah
