kills,deaths,assists,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion
4,0,3,4,2.0,0,18.3 mil,12.9 mil,4.8 mil,0.6 mil,446.9 mil,274.3 mil,13.6 mil,159.1 mil,975,8.6 mil,6.9 mil,3.5 mil,12.8 mil,4.9 mil,7.8 mil,0.1 mil,20.0,9.0,0,3.0,17.2 mil,15.7 mil,344,0.0,0.0,0.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,Unnamed: 31
1,3,7,1,1.0,0,4.4 mil,3.6 mil,0.7 mil,0.1 mil,132.6 mil,80.1 mil,37.1 mil,15.4 mil,0,8.0 mil,0.0 mil,7.6 mil,33.4 mil,16.5 mil,16.5 mil,0.4 mil,62.0,23.0,0,16.0,10.2 mil,10.0 mil,44,132.0,103.0,4.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
0,4,2,0,0.0,0,10.7 mil,0.6 mil,10.1 mil,0.0 mil,367.1 mil,12.6 mil,204.6 mil,150.0 mil,998,1.0 mil,0.0 mil,2.3 mil,16.9 mil,3.8 mil,12.9 mil,0.2 mil,22.0,10.0,0,8.0,12.2 mil,11.4 mil,311,20.0,20.0,0.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
2,5,3,2,1.0,0,9.1 mil,5.4 mil,3.8 mil,0.0 mil,139.7 mil,89.4 mil,47.2 mil,3.1 mil,0,4.0 mil,0.0 mil,3.5 mil,14.6 mil,7.0 mil,7.5 mil,0.1 mil,12.0,13.0,0,2.0,12.0 mil,11.4 mil,279,12.0,12.0,0.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
1,5,4,1,1.0,1,2.6 mil,1.3 mil,0.7 mil,0.5 mil,31.0 mil,12.1 mil,1.8 mil,17.2 mil,0,0.0 mil,0.0 mil,1.9 mil,18.7 mil,6.6 mil,11.2 mil,1.0 mil,52.0,10.0,0,19.0,8.0 mil,7.9 mil,66,4.0,0.0,0.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
8,0,6,8,2.0,0,27.8 mil,0.8 mil,26.6 mil,0.4 mil,382.7 mil,19.6 mil,202.4 mil,160.7 mil,912,17.3 mil,5.2 mil,26.4 mil,20.7 mil,14.5 mil,5.9 mil,0.3 mil,13.0,10.0,0,1.0,16.6 mil,13.8 mil,315,12.0,4.0,0.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
4,2,5,3,1.0,0,6.2 mil,5.9 mil,0.3 mil,0.0 mil,159.4 mil,137.5 mil,6.5 mil,15.3 mil,0,22.5 mil,1.6 mil,15.0 mil,27.3 mil,19.5 mil,7.5 mil,0.4 mil,58.0,21.0,0,14.0,12.5 mil,11.4 mil,28,159.0,109.0,8.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
4,0,13,4,1.0,0,22.3 mil,0.0 mil,22.1 mil,0.2 mil,244.4 mil,6.6 mil,237.1 mil,0.7 mil,0,6.1 mil,1.0 mil,4.3 mil,13.4 mil,9.7 mil,3.7 mil,0.0 mil,44.0,13.0,0,7.0,15.8 mil,14.9 mil,333,16.0,12.0,4.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
1,2,10,1,1.0,0,10.9 mil,10.6 mil,0.0 mil,0.3 mil,223.2 mil,203.4 mil,0.7 mil,19.1 mil,1029,44.7 mil,18.5 mil,3.8 mil,10.6 mil,5.8 mil,4.5 mil,0.2 mil,14.0,22.0,0,6.0,14.4 mil,12.5 mil,292,12.0,8.0,4.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
0,4,16,0,0.0,0,6.8 mil,1.3 mil,4.7 mil,0.8 mil,18.6 mil,11.6 mil,5.6 mil,1.4 mil,0,4.8 mil,3.5 mil,2.4 mil,12.0 mil,7.5 mil,4.1 mil,0.3 mil,44.0,17.0,0,17.0,10.2 mil,9.2 mil,19,0.0,0.0,0.0, https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/570139?gameHash=ba727c1db6d1cfbb&amp;tab=overview,
5,2,5,4,2.0,0,11200.0,8800.0,1600.0,700.0,127400.0,94500.0,20000.0,12900.0,0,11000.0,3300.0,3300.0,20600.0,11400.0,7800.0,1400.0,10.0,2.1,0,3.0,12800.0,12400.0,201,17.0,7.0,5.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,Unnamed: 31
3,4,7,3,1.0,1,10100.0,6400.0,1000.0,2800.0,127000.0,70500.0,37100.0,19400.0,0,21900.0,400.0,6900.0,26000.0,19200.0,6600.0,100.0,6.0,9.0,0,6.0,10100.0,8900.0,23,116.0,70.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
3,2,7,2,2.0,0,16300.0,400.0,15400.0,600.0,290900.0,10300.0,280000.0,600.0,0,36400.0,9300.0,10100.0,18100.0,11500.0,5800.0,800.0,10.0,4.0,0,5.0,15100.0,14800.0,301,54.0,41.0,3.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
2,2,10,2,1.0,0,22100.0,19500.0,1000.0,1600.0,206700.0,194200.0,10100.0,2400.0,1672,16700.0,5900.0,3500.0,13400.0,9000.0,4200.0,100.0,10.0,7.0,0,3.0,13400.0,12600.0,249,40.0,29.0,6.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
0,3,10,0,0.0,0,4800.0,1600.0,2200.0,1000.0,21700.0,7800.0,4300.0,9600.0,0,1600.0,1300.0,2100.0,12400.0,7700.0,4600.0,100.0,44.0,10.0,0,15.0,7500.0,6700.0,32,0.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
4,3,4,3,1.0,0,13500.0,13500.0,0.0,0.0,121200.0,116000.0,0.0,5200.0,0,6100.0,2300.0,8200.0,22100.0,13300.0,5900.0,2900.0,11.0,1.0,0,3.0,11200.0,11100.0,194,8.0,5.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
1,4,7,1,1.0,0,8800.0,4900.0,2800.0,1000.0,170500.0,64300.0,86400.0,19800.0,0,17200.0,0.0,8200.0,29600.0,19600.0,8700.0,1200.0,9.0,6.0,0,10.0,9500.0,9600.0,30,142.0,115.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
2,1,7,2,1.0,0,14100.0,200.0,13400.0,600.0,176500.0,4600.0,165000.0,6900.0,0,900.0,0.0,1600.0,15900.0,11800.0,3600.0,400.0,12.0,3.0,0,4.0,11000.0,10800.0,248,12.0,12.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
6,2,4,4,2.0,0,17000.0,12500.0,3900.0,700.0,157700.0,139200.0,10100.0,8400.0,0,10500.0,2000.0,2300.0,10200.0,6600.0,2300.0,1300.0,8.0,5.0,0,2.0,13400.0,13400.0,254,5.0,5.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
0,3,8,0,0.0,0,5900.0,600.0,5200.0,100.0,28900.0,5500.0,15700.0,7700.0,0,4600.0,0.0,3300.0,11100.0,6500.0,3300.0,1300.0,40.0,16.0,0,14.0,6900.0,6300.0,58,4.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1540037?gameHash=df189f4cefd8bfea&amp;tab=overview,
6,1,3,6,1.0,1,14600.0,14600.0,0.0,0.0,126500.0,115800.0,0.0,10700.0,0,7100.0,3200.0,7900.0,14900.0,7300.0,6100.0,1500.0,8.0,5.0,0,3.0,10200.0,9300.0,173,17.0,7.0,4.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,Unnamed: 31
5,0,6,5,1.0,0,7400.0,6200.0,100.0,1100.0,123000.0,98700.0,5600.0,18700.0,0,27200.0,3600.0,10300.0,15100.0,11600.0,3500.0,0.0,14.0,8.0,0,4.0,9400.0,8100.0,29,113.0,68.0,4.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
2,2,3,2,1.0,0,12100.0,100.0,11900.0,0.0,118200.0,8300.0,109700.0,200.0,0,10700.0,4000.0,4700.0,10600.0,5400.0,5000.0,200.0,12.0,2.0,0,7.0,9200.0,8300.0,185,27.0,16.0,7.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
6,0,2,6,2.0,0,8200.0,7600.0,300.0,300.0,114400.0,106600.0,3000.0,4800.0,519,9800.0,6700.0,1700.0,3800.0,3200.0,300.0,200.0,7.0,7.0,0,4.0,10200.0,9100.0,180,16.0,0.0,16.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
0,2,10,0,0.0,0,1900.0,700.0,900.0,300.0,23400.0,8700.0,7400.0,7300.0,0,5700.0,3100.0,4200.0,6400.0,4000.0,2200.0,100.0,25.0,6.0,0,8.0,6400.0,5700.0,28,0.0,0.0,0.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
1,3,0,1,1.0,0,2800.0,200.0,2400.0,200.0,67300.0,11800.0,55300.0,200.0,0,1200.0,0.0,2000.0,13200.0,7900.0,5200.0,0.0,9.0,3.0,0,3.0,6600.0,6100.0,149,5.0,3.0,0.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
1,4,1,1,1.0,0,3900.0,3000.0,500.0,400.0,72600.0,56000.0,12600.0,4000.0,0,1500.0,0.0,4500.0,15400.0,13100.0,1800.0,500.0,12.0,3.0,0,8.0,6300.0,6100.0,24,69.0,64.0,0.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
0,5,4,0,0.0,0,9000.0,500.0,8200.0,300.0,82100.0,11300.0,70500.0,300.0,0,0.0,0.0,1500.0,13300.0,9500.0,3000.0,800.0,9.0,4.0,0,4.0,6800.0,5500.0,172,4.0,4.0,0.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
3,2,2,2,1.0,0,7600.0,6000.0,1400.0,200.0,77400.0,70300.0,5300.0,1700.0,0,300.0,0.0,1000.0,7800.0,5900.0,1800.0,100.0,5.0,1.0,0,4.0,8200.0,7900.0,184,4.0,0.0,0.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
0,5,4,0,0.0,0,3600.0,600.0,2200.0,800.0,16100.000000000002,4600.0,6000.0,5500.0,0,100.0,0.0,0.0,9800.0,7500.0,2000.0,400.0,29.0,9.0,0,11.0,4700.0,4300.0,32,0.0,0.0,0.0, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1160644?gameHash=744c3e9779ad519c&amp;tab=overview,
