KDA,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion
3/3/10,3,1,○,10.7k,7.6k,3.0k,0.1k,173.2k,120.3k,41.7k,11.3k,-,9.1k,5.9k,2.2k,18.6k,10.6k,7.0k,1.0k,20,3,-,11,12.5k,11.6k,239,8,8,-, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Poppy
1/2/8,1,1,○,3.5k,1.5k,1.2k,0.9k,113.9k,57.5k,41.6k,14.8k,-,26.6k,0.1k,7.3k,19.3k,12.2k,6.7k,0.4k,23,10,-,11,9.4k,9.2k,15,116,72,8, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Skarner
5/2/5,5,3,○,15.0k,0.1k,14.0k,1.0k,203.4k,4.8k,188.0k,10.6k,-,3.3k,2.2k,5.3k,17.1k,9.9k,6.1k,1.1k,18,4,-,7,14.1k,12.6k,268,28,21,4, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Sylas
6/0/4,6,4,○,17.9k,16.1k,1.0k,0.8k,330.9k,319.7k,2.5k,8.8k,725,30.7k,10.5k,0.7k,7.7k,4.5k,2.7k,0.5k,11,25,-,2,19.0k,16.3k,374,48,28,4, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Sivir
0/2/9,0,0,○,4.1k,0.6k,2.9k,0.6k,25.3k,6.7k,7.7k,11.0k,-,2.0k,0.4k,1.1k,6.9k,4.1k,2.6k,0.2k,58,13,-,16,7.7k,6.7k,50,-,-,-, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Nautilus
3/5/3,3,1,○,12.7k,7.0k,4.8k,0.9k,244.0k,209.9k,20.8k,13.3k,-,5.5k,1.0k,5.8k,24.6k,13.4k,9.9k,1.3k,16,7,-,5,13.6k,13.5k,298,30,27,-, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Irelia
1/3/6,1,1,○,10.6k,0.9k,8.9k,0.8k,157.3k,25.2k,122.7k,9.4k,-,16.7k,0.0k,11.1k,20.6k,15.2k,5.2k,0.2k,32,8,-,10,9.8k,9.2k,15,129,103,-, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Gragas
1/3/5,1,1,●,6.5k,5.3k,0.2k,1.0k,207.3k,190.7k,8.2k,8.4k,1488,7.0k,0.0k,1.6k,11.6k,5.7k,5.5k,0.4k,16,13,-,5,12.3k,12.0k,295,5,5,-, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Yasuo
4/2/3,3,2,○,12.3k,7.7k,4.6k,0.0k,175.9k,151.1k,19.4k,5.4k,459,5.2k,2.3k,1.0k,11.2k,9.1k,1.9k,0.2k,17,20,-,7,14.3k,12.5k,317,20,12,-, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Varus
0/2/5,0,0,○,4.2k,0.2k,3.4k,0.6k,26.1k,8.4k,5.2k,12.6k,-,1.2k,0.4k,1.8k,9.0k,6.3k,1.4k,1.2k,44,14,-,15,7.8k,7.0k,60,-,-,-, http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134632?gameHash=79984a56ed8f6c29&tab=stats,Braum
