kills,deaths,assists,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion
3,3,2,3,1.0,1,11200.0,6500.0,400.0,4200.0,207300.0,170200.0,400.0,36700.0,0,3400.0,2200.0,1600.0,16000.0,13200.0,2300.0,600.0,15.0,6.0,0,3.1,14300.0,13800.0,281,18.0,16.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
2,6,2,2,2.0,0,4900.0,3300.0,1100.0,500.0,122800.0,66800.0,42300.0,13600.0,0,18400.0,200.0,6000.0,26600.0,18300.0,6800.0,1500.0,34.0,12.0,0,13.0,9200.0,8800.0,23,111.0,70.0,4.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
2,4,2,2,1.0,0,14700.0,600.0,13300.0,800.0,201800.0,15500.0,182900.0,3400.0,0,5100.0,3500.0,300.0,10800.0,8400.0,1900.0,500.0,13.0,4.0,0,7.0,12900.0,13000.0,257,28.0,25.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
1,3,1,1,1.0,0,3600.0,3200.0,300.0,0.0,201700.0,185700.0,800.0,15200.0,859,4600.0,1200.0,900.0,8200.0,5200.0,2300.0,800.0,19.0,10.0,0,8.0,12200.0,11400.0,279,24.0,20.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
0,3,3,0,0.0,0,2700.0,800.0,1800.0,200.0,20600.0,6800.0,6100.0,7800.0,0,1600.0,100.0,200.0,8900.0,6500.0,1700.0,700.0,42.0,4.0,0,13.0,6600.0,5900.0,28,0.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
5,3,5,3,1.0,0,12400.0,11700.0,0.0,700.0,187600.0,185800.0,0.0,1800.0,0,23500.0,4600.0,7600.0,19000.0,10900.0,3800.0,4300.0,10.0,5.0,0,3.0,14500.0,13300.0,202,39.0,22.0,8.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
2,2,10,2,1.0,0,12300.0,600.0,9900.0,1800.0,161100.0,28400.0,121800.0,10800.0,0,20300.0,500.0,10800.0,21200.0,15300.0,5600.0,200.0,17.0,12.0,0,19.0,11100.0,10100.0,18,147.0,115.0,8.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
7,2,4,7,2.0,0,11000.0,9600.0,800.0,600.0,176300.0,159900.0,14000.0,2400.0,0,7600.0,4500.0,1200.0,8600.0,5700.0,2800.0,100.0,16.0,12.0,0,5.0,15400.0,14100.0,279,10.0,4.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
5,1,7,5,2.0,0,14800.0,13700.0,600.0,600.0,240800.0,237300.0,600.0,3000.0,586,38800.0,8000.0,800.0,8000.0,5000.0,2800.0,100.0,17.0,13.0,0,9.0,16300.0,15100.0,301,33.0,12.0,1.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
0,0,11,0,0.0,0,2700.0,400.0,2000.0,300.0,26900.0,8900.0,11700.0,6300.0,0,9600.0,500.0,16200.0,10600.0,5000.0,4300.0,1300.0,59.0,12.0,0,16.0,8700.0,8200.0,31,0.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/660033?gameHash=3ae31e7697461999&amp;tab=overview&tab=stats,False
0,5,9,0,0.1,0,20100.0,11900.0,6100.0,2100.0,214100.0,194500.0,7900.0,11600.0,760,8000.0,1400.0,6400.0,24200.0,17200.0,5900.0,1200.0,17.0,2.0,0,6.0,12200.0,10900.0,250,8.0,3.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
0,4,8,0,0.0,0,5600.0,4400.0,1000.0,200.0,173300.0,132400.0,29100.0,11700.0,0,21800.0,1200.0,8300.0,24700.0,17600.0,6800.0,400.0,25.0,10.0,0,18.0,10000.0,9800.0,27,162.0,118.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
5,3,4,2,2.0,0,23800.0,100.0,23600.0,100.0,210800.0,5400.0,205300.0,100.0,0,4100.0,2000.0,1400.0,18200.0,13500.0,3100.0,1600.0,9.0,3.0,0,4.0,13300.0,13300.0,285,0.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
4,6,2,2,1.0,0,12300.0,9300.0,2200.0,900.0,211800.0,174600.0,26400.0,10700.0,536,12800.0,0.0,2000.0,16300.0,12300.0,3700.0,300.0,13.0,9.0,0,4.0,14000.0,13000.0,286,32.0,28.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
1,6,8,1,1.0,0,9500.0,5000.0,1000.0,3600.0,38200.0,23200.0,1500.0,13500.0,0,1200.0,0.0,500.0,19800.0,12900.0,6500.0,300.0,50.0,20.0,0,16.0,7700.0,7200.0,56,0.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
5,0,8,5,1.0,0,16900.0,13900.0,2900.0,0.0,200600.0,188000.0,3300.0,9300.0,0,7400.0,4900.0,10700.0,26800.0,17300.0,7300.0,2100.0,16.0,15.0,0,5.0,14500.0,11800.0,294,0.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
5,2,14,3,2.0,0,12600.0,10600.0,100.0,2000.0,179600.0,146900.0,7600.0,25100.0,0,29400.0,4200.0,20300.0,31200.0,18400.0,12000.0,900.0,12.0,16.0,0,11.0,13000.0,11700.0,32,146.0,93.0,11.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
3,2,15,3,2.0,0,15800.0,600.0,14900.0,300.0,174100.0,11200.0,140000.0,22900.0,0,8700.0,4400.0,11800.0,24900.0,12700.0,11500.0,700.0,16.0,4.0,0,6.0,13000.0,11500.0,222,22.0,20.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
8,3,10,7,3.0,0,19500.0,18500.0,800.0,300.0,260200.0,249500.0,3400.0,7300.0,1070,21900.0,6200.0,1900.0,10400.0,6400.0,2500.0,1500.0,15.0,14.0,0,6.0,16200.0,16400.0,297,41.0,29.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
3,3,16,2,1.0,1,6700.0,1500.0,3900.0,1200.0,20800.0,8000.0,6000.0,6900.0,0,2100.0,800.0,4100.0,15600.0,9000.0,4900.0,1700.0,52.0,9.0,0,15.0,9200.0,7600.0,36,1.0,1.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats,False
2,1,13,2,2.1,0,16100.000000000002,4600.0,11500.0,0.0,196800.0,55400.0,140300.0,1100.0,0,0.0,0.0,6100.0,26100.0,12400.0,12800.0,800.0,24.0,6.0,0,4.0,17800.0,16900.0,327,20.0,4.1,16.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
7,1,8,6,2.0,1,18600.0,12100.0,1000.0,5600.0,239400.0,164200.0,31300.0,43900.0,0,0.0,0.0,25100.0,54800.0,31500.0,22000.0,1200.0,46.0,15.0,0,11.0,17700.0,17400.0,48,166.0,96.0,70.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
5,1,10,4,1.0,0,26300.0,600.0,25400.0,400.0,368400.0,15500.0,348700.0,4200.0,0,0.0,0.0,7200.0,23700.0,11600.0,11700.0,500.0,33.0,5.0,0,8.0,20600.0,17900.0,385,31.0,16.0,15.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
2,0,13,2,2.0,0,27400.0,22700.0,3800.0,1000.0,349100.0,307800.0,32000.0,9300.0,1078,0.0,0.0,8000.0,20700.0,10500.0,10000.0,200.0,21.0,18.0,0,4.0,20500.0,18500.0,425,23.0,19.0,4.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
4,2,10,3,2.0,0,18900.0,9700.0,8400.0,800.0,55600.0,30600.0,23100.0,1900.0,548,0.0,0.0,3600.0,20300.0,6100.0,14000.0,200.0,77.0,34.0,0,23.0,15100.0,13900.0,77,0.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
0,5,2,0,0.0,0,21500.0,2000.0,19400.0,0.0,230900.0,29000.0,201300.0,600.0,0,0.0,0.0,16100.000000000002,45800.0,23400.0,17700.0,4800.0,28.0,15.0,0,4.0,15200.0,14700.0,349,0.0,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
3,3,0,3,1.0,0,8200.0,7500.0,700.0,0.0,251200.0,229200.0,3900.0,18100.0,0,0.0,0.0,19700.0,41000.0,29400.0,9900.0,1600.0,44.0,43.0,0,15.0,15700.0,14400.0,71,196.0,115.0,81.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
0,3,3,0,0.0,0,20800.0,300.0,18900.0,1600.0,325100.0,23300.0,293200.0,8500.0,0,0.0,0.0,800.0,13200.0,5300.0,7500.0,400.0,14.0,14.0,0,11.0,17200.0,16400.0,413,10.0,9.0,1.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
2,3,2,2,1.0,0,38800.0,29000.0,8600.0,1200.0,377800.0,319900.0,51000.0,6900.0,0,0.0,0.0,3500.0,22500.0,15700.0,6600.0,200.0,20.0,10.0,0,5.0,18700.0,18000.0,448,19.0,16.0,3.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
0,6,4,0,0.0,0,17100.0,600.0,16400.0,100.0,39000.0,8300.0,30600.0,100.0,0,0.0,0.0,1400.0,21500.0,10000.0,10900.0,600.0,71.0,33.0,0,17.0,12100.0,11600.0,36,2.0,0.0,2.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1315384?gameHash=8d4d054b5416b30d&amp;tab=overview&tab=stats,False
2,2,11,2,1.0,0,15100.0,3900.0,10900.0,300.0,118900.0,44800.0,68600.0,5600.0,0,4800.0,200.0,3900.0,22600.0,11500.0,6700.0,4500.0,17.0,5.0,0,9.0,10200.0,9300.0,186,1.1,0.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/670111?gameHash=4adc56967f2a3261&amp;tab=overview&tab=stats,False
6,2,8,6,2.0,0,22800.0,300.0,21200.0,1300.0,193300.0,21000.0,161700.0,10600.0,0,27200.0,900.0,9800.0,16900.0,9000.0,7300.0,600.0,9.0,11.0,0,9.0,12500.0,11900.0,47,156.0,103.0,0.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/670111?gameHash=4adc56967f2a3261&amp;tab=overview&tab=stats,False
6,4,3,4,1.0,0,15500.0,13200.0,1400.0,900.0,109900.0,99000.0,8400.0,2400.0,0,5200.0,700.0,3600.0,16600.0,10900.0,5300.0,400.0,39.0,9.0,0,10.0,11600.0,11400.0,185,21.0,8.0,4.0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/670111?gameHash=4adc56967f2a3261&amp;tab=overview&tab=stats,False
