kills,deaths,assists,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion

3, 4, 9, 3, 1, 0, 12000, 700, 10200, 1100, 148200, 24400, 109100, 14700, 0, 31700, 0, 13000, 26200, 16000, 9900, 400, 17, 8, 0, 18, 11400, 11200, 38, 131, 77, 4, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270814?gameHash=4127cdfd68733610&amp;tab=overview, 

0, 1, 11, 0, 0, 0, 9100, 800, 7400, 900, 39400, 8600, 29500, 1400, 0, 5300, 3100, 800, 10900, 4300, 5500, 1200, 56, 24, 0, 18, 12400, 11000, 33, 0, 0, 0, http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/540015?gameHash=42eb03e56c41896a&amp;tab=overview&tab=stats, 

1, 2, 18, 1, 1, 0, 5300, 900, 4400, 0, 22300, 8900, 8800, 4600, 0, 4300, 2500, 3100, 17100, 5500, 8300, 3400, 37, 5, 0, 13, 8500, 7900, 24, 0, 0, 0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1340749?gameHash=4007e110d2b480ba&amp;tab=overview&tab=stats, 

0, 0, 4, 0, 0, 0, 14900, 12400, 2400, 100, 243400, 218800, 20500, 4100, 0, 7700, 7700, 1100, 17600, 4600, 12100, 1000, 26, 5, 0, 6, 14800, 14400, 375, 8, 0, 0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/650115?gameHash=4c4d3cf328b602b1&amp;tab=overview&tab=stats, 

12, 1, 10, 12, 3, 0, 39900, 32100, 1900, 5900, 323200, 303400, 7200, 12600, 2559, 42600, 17700, 6400, 14600, 10800, 3300, 500, 20, 33, 0, 8, 21800, 18200, 328, 41, 26, 4, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031477?gameHash=05dc9b272ad3b18a&amp;tab=overview&tab=stats, 

1, 2, 2, 1, 1, 0, 12600, 1500, 10100, 1000, 173800, 34700, 124000, 15100, 0, 0, 0, 2600, 15900, 7600, 7200, 1100, 14, 7, 0, 8, 12300, 12300, 301, 12, 12, 0, https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT02/800750?gameHash=3d0cc1f2dcfc09eb&amp;tab=overview&tab=stats, 

3, 5, 6, 2, 1, 0, 10800, 1100, 8900, 800, 183000, 40700, 126800, 15500, 0, 24500, 400, 8700, 24200, 14500, 9400, 300, 13, 3, 0, 11, 10300, 10200, 48, 139, 114, 5, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400069?gameHash=43aab3a0789f4d1a&amp;tab=overview&tab=stats, 

4, 2, 11, 2, 2, 0, 42300, 300, 36700, 5300, 557200, 9800, 388600, 158800, 0, 9700, 3200, 5500, 27500, 21000, 3900, 2600, 23, 8, 0, 6, 22700, 20000, 495, 26, 15, 0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/530077?gameHash=f9ce12842cb908ea&amp;tab=overview&tab=stats, 

0, 5, 4, 0, 0, 0, 4700, 1100, 3000, 500, 26000, 6900, 9700, 9400, 0, 2900, 300, 0, 14600, 8000, 6600, 0, 32, 6, 0, 13, 5200, 5000, 29, 0, 0, 0, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1430747?gameHash=918940d81b5c73b4&amp;tab=overview&tab=stats, 

1, 4, 13, 1, 1, 0, 4100, 400, 3000, 600, 11100, 3300, 4700, 3100, 0, 700, 700, 5700, 13800, 8700, 4000, 1100, 37, 2, 0, 16, 6700, 5400, 16, 4, 0, 4, https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002490058?gameHash=776a4d91769d8b31&tab=stats, 

2, 4, 1, 2, 1, 0, 8800, 1200, 7600, 0, 113000, 13300, 86900, 12800, 0, 1000, 1000, 1600, 15700, 10100, 5400, 200, 12, 4, 0, 6, 7900, 7700, 188, 0, 0, 0, https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980683?gameHash=b768958d08a63e93&amp;tab=overview&tab=stats, 

6, 1, 11, 6, 2, 0, 27200, 200, 26900, 100, 248600, 6400, 242000, 200, 0, 9000, 4000, 6300, 21100, 14000, 4900, 2200, 21, 6, 0, 12, 16800, 15600, 319, 32, 18, 7, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/811838?gameHash=e95fe1a48652e476&amp;tab=overview&tab=stats, 

1, 6, 20, 1, 1, 0, 8000, 6000, 1400, 600, 138800, 81600, 50400, 6700, 0, 9000, 1400, 9600, 34200, 18500, 14800, 800, 13, 18, 0, 12, 11400, 11700, 38, 122, 100, 4, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270814?gameHash=4127cdfd68733610&amp;tab=overview, 

0, 5, 11, 0, 0, 0, 5900, 500, 4300, 1200, 105000, 15700, 10200, 79200, 0, 8600, 3800, 9300, 19200, 7800, 11000, 400, 48, 26, 0, 21, 11100, 10100, 30, 4, 0, 0, http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/530168?gameHash=46efdb975d20ba3d&amp;tab=overview&tab=stats, 

3, 3, 12, 2, 1, 0, 52100, 38000, 11500, 2600, 469200, 426900, 31600, 10800, 0, 29600, 8800, 2300, 32600, 18600, 12500, 1500, 21, 19, 0, 4, 21800, 17900, 405, 66, 47, 12, https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1181036?gameHash=f44d6765691ff2c7&amp;tab=overview&tab=stats, 

