KDA,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion
1/0/7,1,1,○,12.0k,1.7k,10.3k,0.0k,143.7k,26.3k,111.3k,6.1k,-,2.9k,2.5k,7.9k,18.2k,12.2k,5.9k,0.2k,14,4,-,3,10.5k,9.6k,230,-,-,-,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Maokai
1/0/13,1,1,○,5.4k,0.7k,4.6k,0.1k,123.0k,29.7k,78.2k,15.1k,-,17.7k,1.8k,30.8k,22.8k,16.5k,5.6k,0.8k,53,18,-,7,10.5k,9.3k,39,129,70,9,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Gragas
2/0/7,2,1,○,10.7k,1.1k,9.6k,0.0k,201.7k,24.2k,174.2k,3.2k,624,18.1k,8.3k,2.7k,9.9k,6.2k,3.6k,0.1k,14,11,-,4,13.0k,12.9k,256,52,20,18,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Xerath
8/0/4,8,3,○,22.3k,18.2k,3.1k,1.0k,180.1k,157.8k,14.3k,7.9k,-,23.3k,9.2k,1.3k,8.8k,5.6k,3.0k,0.2k,12,18,-,3,14.9k,12.6k,256,12,8,4,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Ezreal
2/1/12,2,1,●,6.7k,0.6k,5.3k,0.8k,28.9k,9.0k,17.2k,2.6k,-,5.6k,2.1k,1.1k,6.4k,3.0k,2.4k,1.0k,43,9,-,9,9.0k,7.5k,28,-,-,-,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Karma
0/4/0,0,0,○,12.5k,7.6k,4.9k,0.0k,109.8k,83.0k,18.2k,8.6k,-,1.9k,0.2k,1.5k,21.4k,8.6k,12.2k,0.7k,12,1,-,-,8.4k,8.3k,212,10,1,-,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Gnar
0/2/0,0,0,○,3.8k,2.7k,1.0k,0.2k,108.9k,59.5k,40.8k,8.6k,-,0.3k,0.3k,7.4k,22.0k,14.0k,7.7k,0.3k,53,13,-,11,7.4k,7.4k,18,110,82,12,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,JarvanIV
0/1/0,0,0,○,7.4k,0.0k,7.0k,0.4k,166.3k,6.6k,159.4k,0.4k,-,2.4k,2.4k,1.0k,9.1k,5.3k,3.7k,0.1k,27,7,-,1,10.6k,10.6k,297,16,16,-,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Corki
0/4/0,0,0,○,8.2k,6.6k,1.0k,0.6k,112.2k,95.6k,15.1k,1.5k,964,1.1k,0.6k,0.9k,10.5k,4.3k,5.9k,0.3k,10,14,-,4,9.1k,8.3k,245,4,4,-,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Kalista
1/3/0,1,1,○,4.2k,0.1k,4.1k,0.0k,19.8k,4.9k,5.6k,9.3k,-,0.1k,0.0k,2.9k,12.3k,6.4k,5.4k,0.5k,26,9,-,2,6.6k,5.7k,51,-,-,-,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/500077?gameHash=ece59cf20b2b0e0a&amp;tab=overview&tab=stats,Alistar
